,formulaA,formulaB,formulaA_elements_AtomicVolume,formulaB_elements_AtomicVolume,formulaA_elements_AtomicWeight,formulaB_elements_AtomicWeight,formulaA_elements_BoilingT,formulaB_elements_BoilingT,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_Column,formulaB_elements_Column,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_Density,formulaB_elements_Density,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_Electronegativity,formulaB_elements_Electronegativity,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSbandgap,formulaB_elements_GSbandgap,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_GSestBCClatcnt,formulaB_elements_GSestBCClatcnt,formulaA_elements_GSestFCClatcnt,formulaB_elements_GSestFCClatcnt,formulaA_elements_GSmagmom,formulaB_elements_GSmagmom,formulaA_elements_GSvolume_pa,formulaB_elements_GSvolume_pa,formulaA_elements_HHIp,formulaB_elements_HHIp,formulaA_elements_HHIr,formulaB_elements_HHIr,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatCapacityMolar,formulaB_elements_HeatCapacityMolar,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_ICSDVolume,formulaB_elements_ICSDVolume,formulaA_elements_IsAlkali,formulaB_elements_IsAlkali,formulaA_elements_IsDBlock,formulaB_elements_IsDBlock,formulaA_elements_IsFBlock,formulaB_elements_IsFBlock,formulaA_elements_IsMetal,formulaB_elements_IsMetal,formulaA_elements_IsMetalloid,formulaB_elements_IsMetalloid,formulaA_elements_IsNonmetal,formulaB_elements_IsNonmetal,formulaA_elements_MeltingT,formulaB_elements_MeltingT,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_MiracleRadius,formulaB_elements_MiracleRadius,formulaA_elements_NUnfilled,formulaB_elements_NUnfilled,formulaA_elements_NValance,formulaB_elements_NValance,formulaA_elements_NdUnfilled,formulaB_elements_NdUnfilled,formulaA_elements_NdValence,formulaB_elements_NdValence,formulaA_elements_NfUnfilled,formulaB_elements_NfUnfilled,formulaA_elements_NfValence,formulaB_elements_NfValence,formulaA_elements_NpUnfilled,formulaB_elements_NpUnfilled,formulaA_elements_NpValence,formulaB_elements_NpValence,formulaA_elements_NsUnfilled,formulaB_elements_NsUnfilled,formulaA_elements_NsValence,formulaB_elements_NsValence,formulaA_elements_Number,formulaB_elements_Number,formulaA_elements_Polarizability,formulaB_elements_Polarizability,formulaA_elements_Row,formulaB_elements_Row,formulaA_elements_ShearModulus,formulaB_elements_ShearModulus,formulaA_elements_SpaceGroupNumber,formulaB_elements_SpaceGroupNumber,avg_coordination_A,avg_coordination_B,avg_nearest_neighbor_distance_A,avg_nearest_neighbor_distance_B,stabilityVec
1379,Ne,Au,37232.18569,16.94706362,20.1791,196.966569,26.92,3129.0,0.0,220.0,18,11,58,136,0.9,19300.0,0.0,1.57,0.0,2.54,21.56454,9.225530000000001,13.088,0.0,0.09403567,-3.20969261,2.934893568,3.2204420519999997,3.6977341860000004,4.0575027310000005,0.0,0.0,12.64,16.7,0,1100,0,1000,1.03,0.129,20.785999999999998,25.418000000000003,0.16399999999999998,12.55,23.09,16.96,0,0,0,1,0,0,0,1,0,0,1,0,24.56,1337.33,99,66,0,143,0,1,8,25,0,0,0,10,0,0,0,14,0,0,6,0,0,1,2,1,10,79,0.39432,5.8,2,6,0.0,27.0,225,225,12.0,12.0,3.04326,2.94955,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1380,Ne,Ba,37232.18569,64.96928167,20.1791,137.327,26.92,2143.0,0.0,9.6,18,2,58,215,0.9,3510.0,0.0,0.81,0.0,0.89,21.56454,5.211664,13.088,0.0,0.09403567,-1.92352226,2.934893568,5.028899311,3.6977341860000004,6.336016099999999,0.0,0.0,12.64,63.59,0,3000,0,2300,1.03,0.204,20.785999999999998,28.07,0.16399999999999998,7.12,23.09,62.88,0,1,0,0,0,0,0,1,0,0,1,0,24.56,1000.0,99,9,0,223,0,0,8,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,10,56,0.39432,39.7,2,6,0.0,4.9,225,229,12.0,8.0,3.04326,4.35637,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1381,Ne,Be,37232.18569,8.098176455,20.1791,9.012182000000001,26.92,2743.0,0.0,130.0,18,2,58,96,0.9,1848.0,0.0,1.67,0.0,1.57,21.56454,9.3227,13.088,0.0,0.09403567,-3.755038695,2.934893568,2.508239481,3.6977341860000004,3.160183721,0.0,0.0,12.64,7.89,0,8000,0,4000,1.03,1.825,20.785999999999998,16.442999999999998,0.16399999999999998,7.895,23.09,8.11,0,1,0,0,0,0,0,1,0,0,1,0,24.56,1560.0,99,67,0,112,0,0,8,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,10,4,0.39432,5.6,2,2,0.0,132.0,225,194,12.0,12.0,3.04326,2.20087,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1382,Ne,Bi,37232.18569,35.48345908,20.1791,208.9804,26.92,1837.0,0.0,31.0,18,15,58,148,0.9,9780.0,0.0,1.16,0.0,2.02,21.56454,7.2855,13.088,0.0,0.09403567,-3.9736943999999994,2.934893568,4.039197959,3.6977341860000004,5.089070533,0.0,0.0,12.64,32.95,0,5300,0,6000,1.03,0.122,20.785999999999998,25.52,0.16399999999999998,11.106,23.09,35.38,0,0,0,0,0,0,0,1,0,0,1,0,24.56,544.4,99,86,0,162,0,3,8,29,0,0,0,10,0,0,0,14,0,3,6,3,0,0,2,2,10,83,0.39432,0.4,2,6,0.0,12.0,225,12,12.0,3.0,3.04326,3.1122099999999997,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1383,Ne,Ca,37232.18569,42.9371873,20.1791,40.078,26.92,1757.0,0.0,17.0,18,2,58,176,0.9,1550.0,0.0,0.91,0.0,1.0,21.56454,6.11316,13.088,0.0,0.09403567,-1.948329565,2.934893568,4.2272603239999995,3.6977341860000004,5.3260142660000005,0.0,0.0,12.64,37.77,0,3900,0,1500,1.03,0.647,20.785999999999998,25.929000000000002,0.16399999999999998,8.54,23.09,44.19,0,1,0,0,0,0,0,1,0,0,1,0,24.56,1115.0,99,7,0,201,0,0,8,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,10,20,0.39432,25.73333333,2,4,0.0,7.4,225,225,12.0,12.0,3.04326,3.89661,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1384,Ne,Ce,37232.18569,34.78450148,20.1791,140.116,26.92,3633.0,0.0,22.0,18,3,58,204,0.9,6689.0,0.0,1.19,0.0,1.12,21.56454,5.5387,13.088,0.0,0.09403567,-4.77656965,2.934893568,4.207394381,3.6977341860000004,5.300984746,0.0,0.0,12.64,37.24,0,9500,0,3100,1.03,0.192,20.785999999999998,26.94,0.16399999999999998,5.46,23.09,34.47,0,0,0,0,0,1,0,1,0,0,1,0,24.56,1071.0,99,15,0,182,0,22,8,4,0,9,0,1,0,13,0,1,0,0,6,0,0,0,2,2,10,58,0.39432,29.6,2,6,0.0,14.0,225,194,12.0,12.0,3.04326,3.33785,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1385,Ne,Eu,37232.18569,48.12129236,20.1791,151.964,26.92,1800.0,0.0,8.3,18,3,58,198,0.9,5244.0,0.0,0.88,0.0,1.185,21.56454,5.670380000000001,13.088,0.0,0.09403567,-1.82958684,2.934893568,4.177811939,3.6977341860000004,5.263713205,0.0,0.0,12.64,36.46,0,9500,0,3100,1.03,0.182,20.785999999999998,27.66,0.16399999999999998,9.21,23.09,48.53,0,0,0,0,0,1,0,1,0,0,1,0,24.56,1095.0,99,25,0,196,0,7,8,9,0,0,0,0,0,7,0,7,0,0,6,0,0,0,2,2,10,63,0.39432,27.7,2,6,0.0,7.9,225,229,12.0,12.0,3.04326,4.00957,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1386,Ne,Ga,37232.18569,19.61051348,20.1791,69.723,26.92,2477.0,0.0,0.0,18,13,58,122,0.9,5904.0,0.0,1.31,0.0,1.81,21.56454,5.999301,13.088,0.0,0.09403567,-3.0122553030000003,2.934893568,3.353549368,3.6977341860000004,4.225207441,0.0,0.0,12.64,18.8575,0,5500,0,1900,1.03,0.373,20.785999999999998,26.03,0.16399999999999998,5.585,23.09,19.6,0,0,0,0,0,0,0,1,0,0,1,0,24.56,302.91,99,74,0,134,0,5,8,13,0,0,0,10,0,0,0,0,0,5,6,1,0,0,2,2,10,31,0.39432,8.12,2,4,0.0,0.0,225,64,12.0,5.0,3.04326,2.53355,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1387,He,Ne,37236.035560000004,37232.18569,4.0026019999999995,20.1791,4.07,26.92,0.0,0.0,18,18,28,58,0.1785,0.9,0.0,0.0,0.0,0.0,24.587387,21.56454,18.098,13.088,0.0011354000000000002,0.09403567,2.908733088,2.934893568,3.6647740460000002,3.6977341860000004,0.0,0.0,12.305,12.64,3200,0,3900,0,5.13,1.03,20.785999999999998,20.785999999999998,0.0,0.16399999999999998,19.08,23.09,0,0,0,0,0,0,0,0,0,0,1,1,0.0,24.56,98,99,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,2,10,0.2050522,0.39432,1,2,0.0,0.0,225,225,8.0,12.0,2.73717,3.04326,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1388,Ne,Ho,37232.18569,31.14037991,20.1791,164.93032,26.92,2973.0,0.0,40.0,18,3,58,192,0.9,8795.0,0.0,1.22,0.0,1.23,21.56454,6.0215,13.088,0.0,0.09403567,-4.577416877,2.934893568,3.9465101189999996,3.6977341860000004,4.972291172,0.0,0.0,12.64,30.73333333,0,9500,0,3100,1.03,0.165,20.785999999999998,27.15,0.16399999999999998,11.76,23.09,31.11,0,0,0,0,0,1,0,1,0,0,1,0,24.56,1747.0,99,33,0,177,0,3,8,13,0,0,0,0,0,3,0,11,0,0,6,0,0,0,2,2,10,67,0.39432,23.6,2,6,0.0,26.0,225,194,12.0,12.0,3.04326,3.4811199999999998,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1389,Ne,In,37232.18569,26.08265816,20.1791,114.818,26.92,2345.0,0.0,0.0,18,13,58,142,0.9,7310.0,0.0,1.17,0.0,1.78,21.56454,5.78636,13.088,0.0,0.09403567,-2.66680196,2.934893568,3.647317727,3.6977341860000004,4.595332378999999,0.0,0.0,12.64,24.26,0,3300,0,2000,1.03,0.233,20.785999999999998,26.74,0.16399999999999998,3.2910000000000004,23.09,26.14,0,0,0,0,0,0,0,1,0,0,1,0,24.56,429.75,99,75,0,155,0,5,8,13,0,0,0,10,0,0,0,0,0,5,6,1,0,0,2,2,10,49,0.39432,9.65,2,5,0.0,0.0,225,139,12.0,12.0,3.04326,3.33944,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1390,Ne,Ir,37232.18569,14.14855047,20.1791,192.217,26.92,4701.0,0.0,320.0,18,9,58,141,0.9,22560.0,0.0,1.83,0.0,2.2,21.56454,8.96702,13.088,0.0,0.09403567,-8.84851145,2.934893568,3.051696628,3.6977341860000004,3.84489682,0.0,0.0,12.64,14.21,0,5500,0,9100,1.03,0.131,20.785999999999998,25.1,0.16399999999999998,41.12,23.09,13.88,0,0,0,1,0,0,0,1,0,0,1,0,24.56,2739.0,99,60,0,136,0,3,8,23,0,3,0,7,0,0,0,14,0,0,6,0,0,0,2,2,10,77,0.39432,7.6,2,6,0.0,210.0,225,225,12.0,12.0,3.04326,2.74055,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1391,Ne,K,37232.18569,75.84786468,20.1791,39.0983,26.92,1032.0,0.0,3.1,18,1,58,203,0.9,856.0,0.0,0.65,0.0,0.82,21.56454,4.3406633,13.088,0.0,0.09403567,-1.097539713,2.934893568,5.268200874,3.6977341860000004,6.637517176,0.0,0.0,12.64,73.10666667,0,1700,0,7200,1.03,0.757,20.785999999999998,29.6,0.16399999999999998,2.335,23.09,75.63,0,1,0,0,0,0,0,1,0,0,1,0,24.56,336.53,99,3,0,230,0,1,8,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,1,10,19,0.39432,43.23,2,4,0.0,1.3,225,229,12.0,8.0,3.04326,4.57083,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1392,Ne,Kr,37232.18569,37107.494739999995,20.1791,83.79799999999999,26.92,119.78,0.0,0.0,18,18,58,116,0.9,3.75,0.0,0.0,0.0,3.0,21.56454,13.99961,13.088,7.535,0.09403567,0.08753524,2.934893568,4.162477568,3.6977341860000004,5.244393107,0.0,0.0,12.64,36.06,0,0,0,0,1.03,0.248,20.785999999999998,20.785999999999998,0.16399999999999998,1.1640000000000001,23.09,44.81,0,0,0,0,0,0,0,0,0,0,1,1,24.56,115.79,99,101,0,0,0,0,8,18,0,0,0,10,0,0,0,0,0,0,6,6,0,0,2,2,10,36,0.39432,2.4844,2,4,0.0,0.0,225,225,12.0,12.0,3.04326,4.5936900000000005,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1393,Ne,La,37232.18569,37.53064612,20.1791,138.90547,26.92,3737.0,0.0,28.0,18,3,58,207,0.9,6146.0,0.0,1.18,0.0,1.1,21.56454,5.5769,13.088,0.0,0.09403567,-4.927546185,2.934893568,4.194456026,3.6977341860000004,5.28468344,0.0,0.0,12.64,36.8975,0,9500,0,3100,1.03,0.195,20.785999999999998,27.11,0.16399999999999998,6.2,23.09,37.42,0,0,0,0,0,1,0,1,0,0,1,0,24.56,1193.0,99,13,0,187,0,9,8,3,0,9,0,1,0,0,0,0,0,0,6,0,0,0,2,2,10,57,0.39432,31.1,2,6,0.0,14.0,225,194,12.0,12.0,3.04326,3.7199800000000005,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1394,Ne,Li,37232.18569,21.54405808,20.1791,6.941,26.92,1615.0,0.0,11.0,18,1,58,128,0.9,535.0,0.0,0.98,0.0,0.98,21.56454,5.391719,13.088,0.0,0.09403567,-1.86988691,2.934893568,3.2135708380000003,3.6977341860000004,4.048845545,0.0,0.0,12.64,16.59333333,0,2900,0,4200,1.03,3.582,20.785999999999998,24.86,0.16399999999999998,3.0,23.09,21.63,0,1,0,0,0,0,0,1,0,0,1,0,24.56,453.69,99,1,0,152,0,1,8,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,1,10,3,0.39432,24.335,2,2,0.0,4.2,225,229,12.0,8.0,3.04326,2.96771,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1395,Ne,Lu,37232.18569,29.52403191,20.1791,174.9668,26.92,3675.0,0.0,48.0,18,3,58,187,0.9,9841.0,0.0,1.24,0.0,1.27,21.56454,5.42586,13.088,0.0,0.09403567,-4.52300002,2.934893568,3.8648607630000003,3.6977341860000004,4.869419431,0.0,0.0022471,12.64,28.865,0,9500,0,3100,1.03,0.154,20.785999999999998,26.86,0.16399999999999998,18.65,23.09,29.52,0,0,0,1,0,1,0,1,0,0,1,0,24.56,1936.0,99,41,0,175,0,9,8,17,0,9,0,1,0,0,0,14,0,0,6,0,0,0,2,2,10,71,0.39432,21.9,2,6,0.0,27.0,225,194,12.0,12.0,3.04326,3.40931,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1396,Ne,Mn,37232.18569,12.21270447,20.1791,54.938044999999995,26.92,2334.0,0.0,120.0,18,7,58,139,0.9,7470.0,0.0,1.61,0.0,1.55,21.56454,7.434019999999999,13.088,0.0,0.09403567,-9.02056525,2.934893568,2.757836487,3.6977341860000004,3.474656242,0.0,0.00031,12.64,10.48758621,0,1600,0,1800,1.03,0.479,20.785999999999998,26.32,0.16399999999999998,12.91,23.09,12.2,0,0,0,1,0,0,0,1,0,0,1,0,24.56,1519.0,99,52,0,132,0,5,8,7,0,5,0,5,0,0,0,0,0,0,6,0,0,0,2,2,10,25,0.39432,9.4,2,4,0.0,78.0,225,217,12.0,5.24138,3.04326,2.27619,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1397,Ne,Mo,37232.18569,15.50088069,20.1791,95.96,26.92,4912.0,0.0,230.0,18,6,58,154,0.9,10280.0,0.0,1.77,0.0,2.16,21.56454,7.09243,13.088,0.0,0.09403567,-10.84610777,2.934893568,3.154164308,3.6977341860000004,3.973998007,0.0,0.0,12.64,15.69,0,2400,0,5300,1.03,0.251,20.785999999999998,24.06,0.16399999999999998,37.48,23.09,15.59,0,0,0,1,0,0,0,1,0,0,1,0,24.56,2896.0,99,50,0,139,0,6,8,6,0,5,0,5,0,0,0,0,0,0,6,0,0,1,2,1,10,42,0.39432,12.8,2,5,0.0,20.0,225,229,12.0,8.0,3.04326,2.74324,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1398,Ne,Os,37232.18569,13.98369767,20.1791,190.23,26.92,5285.0,0.0,0.0,18,8,58,144,0.9,22590.0,0.0,1.85,0.0,2.2,21.56454,8.43823,13.088,0.0,0.09403567,-11.22070399,2.934893568,3.0430820539999996,3.6977341860000004,3.834043137,0.0,0.0,12.64,14.09,0,5500,0,9100,1.03,0.13,20.785999999999998,24.7,0.16399999999999998,57.85,23.09,13.8,0,0,0,1,0,0,0,1,0,0,1,0,24.56,3306.0,99,57,0,135,0,4,8,22,0,4,0,6,0,0,0,14,0,0,6,0,0,0,2,2,10,76,0.39432,8.5,2,6,0.0,222.0,225,194,12.0,12.0,3.04326,2.69382,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1399,Ne,P,37232.18569,28.21412182,20.1791,30.973762,26.92,553.5,0.0,11.0,18,15,58,107,0.9,1823.0,0.0,1.65,0.0,2.19,21.56454,10.48669,13.088,1.625,0.09403567,-5.400509043,2.934893568,3.560590636,3.6977341860000004,4.486063093,0.0,0.0,12.64,22.5702381,0,2000,0,5100,1.03,0.769,20.785999999999998,23.824,0.16399999999999998,18.54,23.09,18.99,0,0,0,0,0,0,0,0,0,0,1,1,24.56,317.3,99,83,0,102,0,3,8,5,0,0,0,0,0,0,0,0,0,3,6,3,0,0,2,2,10,15,0.39432,3.63,2,3,0.0,0.0,225,2,12.0,3.0,3.04326,2.2137700000000002,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1400,Ne,Pd,37232.18569,14.69838627,20.1791,106.42,26.92,3236.0,0.0,180.0,18,10,58,139,0.9,12023.0,0.0,1.67,0.0,2.2,21.56454,8.3369,13.088,0.0,0.09403567,-5.13777457,2.934893568,3.0659471110000003,3.6977341860000004,3.8628513030000002,0.0,0.0,12.64,14.41,0,3200,0,8000,1.03,0.244,20.785999999999998,25.98,0.16399999999999998,16.74,23.09,14.72,0,0,0,1,0,0,0,1,0,0,1,0,24.56,1828.05,99,62,0,142,0,0,8,10,0,0,0,10,0,0,0,0,0,0,6,0,0,0,2,0,10,46,0.39432,4.8,2,5,0.0,44.0,225,225,12.0,12.0,3.04326,2.79543,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1401,Ne,Pt,37232.18569,15.36046351,20.1791,195.084,26.92,4098.0,0.0,230.0,18,10,58,136,0.9,21090.0,0.0,1.78,0.0,2.28,21.56454,8.9588,13.088,0.0,0.09403567,-6.02850968,2.934893568,3.108612885,3.6977341860000004,3.91660681,0.0,0.0,12.64,15.02,0,5500,0,9100,1.03,0.133,20.785999999999998,25.86,0.16399999999999998,22.175,23.09,15.1,0,0,0,1,0,0,0,1,0,0,1,0,24.56,2041.4,99,63,0,139,0,2,8,24,0,1,0,9,0,0,0,14,0,0,6,0,0,1,2,1,10,78,0.39432,6.5,2,6,0.0,61.0,225,225,12.0,12.0,3.04326,2.812,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1402,Ne,Rb,37232.18569,92.64095185,20.1791,85.4678,26.92,961.0,0.0,2.5,18,1,58,220,0.9,1532.0,0.0,0.6,0.0,0.82,21.56454,4.177128,13.088,0.0,0.09403567,-0.963335025,2.934893568,5.661284779,3.6977341860000004,7.132771862,0.0,0.0,12.64,90.7225,0,6000,0,6000,1.03,0.363,20.785999999999998,31.06,0.16399999999999998,2.19,23.09,93.09,0,1,0,0,0,0,0,1,0,0,1,0,24.56,312.46,99,4,0,244,0,1,8,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,1,10,37,0.39432,47.27,2,5,0.0,0.0,225,229,12.0,8.0,3.04326,4.89764,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1403,Ne,Rh,37232.18569,13.72550981,20.1791,102.9055,26.92,3968.0,0.0,380.0,18,9,58,142,0.9,12450.0,0.0,1.76,0.0,2.28,21.56454,7.4589,13.088,0.0,0.09403567,-7.25364552,2.934893568,3.010334727,3.6977341860000004,3.79278409,0.0,0.0,12.64,13.64,0,3200,0,8000,1.03,0.243,20.785999999999998,24.98,0.16399999999999998,26.59,23.09,11.58,0,0,0,1,0,0,0,1,0,0,1,0,24.56,2237.0,99,59,0,132,0,3,8,9,0,2,0,8,0,0,0,0,0,0,6,0,0,1,2,1,10,45,0.39432,8.6,2,5,0.0,150.0,225,225,12.0,12.0,3.04326,2.72142,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1404,Ne,Tb,37232.18569,32.10949276,20.1791,158.92535,26.92,3503.0,0.0,38.7,18,3,58,194,0.9,8219.0,0.0,1.22,0.0,1.21,21.56454,5.8638,13.088,0.0,0.09403567,-4.629217697,2.934893568,3.988997542,3.6977341860000004,5.025821971,0.0,0.0,12.64,31.73666667,0,9500,0,3100,1.03,0.182,20.785999999999998,28.91,0.16399999999999998,10.15,23.09,31.95,0,0,0,0,0,1,0,1,0,0,1,0,24.56,1629.0,99,29,0,176,0,5,8,11,0,0,0,0,0,5,0,9,0,0,6,0,0,0,2,2,10,65,0.39432,25.5,2,6,0.0,22.0,225,194,12.0,12.0,3.04326,3.54101,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1405,Ne,V,37232.18569,13.84489822,20.1791,50.9415,26.92,3680.0,0.0,160.0,18,5,58,153,0.9,6110.0,0.0,1.64,0.0,1.63,21.56454,6.7461899999999995,13.088,0.0,0.09403567,-8.93926069,2.934893568,2.963255488,3.6977341860000004,3.733467966,0.0,0.0,12.64,13.01,0,3300,0,3400,1.03,0.489,20.785999999999998,24.89,0.16399999999999998,21.5,23.09,13.88,0,0,0,1,0,0,0,1,0,0,1,0,24.56,2183.0,99,46,0,134,0,7,8,5,0,7,0,3,0,0,0,0,0,0,6,0,0,0,2,2,10,23,0.39432,12.4,2,4,0.0,47.0,225,229,12.0,8.0,3.04326,2.59229,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1406,Ne,Xe,37232.18569,36952.92402,20.1791,131.293,26.92,165.0,0.0,0.0,18,18,58,140,0.9,5.9,0.0,0.0,0.0,2.6,21.56454,12.12984,13.088,6.456,0.09403567,0.04873128,2.934893568,4.751892136,3.6977341860000004,5.987008929,0.0,0.0,12.64,53.65,0,0,0,0,1.03,0.158,20.785999999999998,20.785999999999998,0.16399999999999998,2.27,23.09,57.83,0,0,0,0,0,0,0,0,0,0,1,1,24.56,161.3,99,102,0,0,0,0,8,18,0,0,0,10,0,0,0,0,0,0,6,6,0,0,2,2,10,54,0.39432,4.044,2,5,0.0,0.0,225,225,12.0,12.0,3.04326,4.85032,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1407,Ne,Yb,37232.18569,43.73967194,20.1791,173.054,26.92,1469.0,0.0,31.0,18,3,58,187,0.9,6570.0,0.0,0.92,0.0,1.26,21.56454,6.25416,13.088,0.0,0.09403567,-1.47410408,2.934893568,4.0864514110000005,3.6977341860000004,5.148606152,0.0,0.0,12.64,34.12,0,9500,0,3100,1.03,0.155,20.785999999999998,26.74,0.16399999999999998,7.66,23.09,41.17,0,0,0,0,0,1,0,1,0,0,1,0,24.56,1092.0,99,39,0,190,0,0,8,16,0,0,0,0,0,0,0,14,0,0,6,0,0,0,2,2,10,70,0.39432,20.9,2,6,0.0,9.9,225,225,12.0,12.0,3.04326,3.8532,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1408,Ne,Zr,37232.18569,23.26594327,20.1791,91.22399999999999,26.92,4682.0,0.0,0.0,18,4,58,175,0.9,6511.0,0.0,1.41,0.0,1.33,21.56454,6.6339,13.088,0.0,0.09403567,-8.545958555,2.934893568,3.593145393,3.6977341860000004,4.527079516000001,0.0,0.0,12.64,23.195,0,3400,0,2600,1.03,0.278,20.785999999999998,25.36,0.16399999999999998,21.0,23.09,23.29,0,0,0,1,0,0,0,1,0,0,1,0,24.56,2128.0,99,44,0,158,0,8,8,4,0,8,0,2,0,0,0,0,0,0,6,0,0,0,2,2,10,40,0.39432,17.9,2,5,0.0,33.0,225,194,12.0,12.0,3.04326,3.1914700000000003,"[1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0]"
1409,Ag,Ni,17.07564795,10.94128444,107.8682,58.6934,2435.0,3186.0,100.0,180.0,11,10,145,124,10490.0,8908.0,1.36,1.75,1.93,1.91,7.576230000000001,7.6398,0.0,0.0,-2.76539356,-5.54632457,3.1964805060000003,2.74306794,4.027313073999999,3.456049039,0.0,0.5953946999999999,16.33,10.32,1200,1000,1400,1500,0.235,0.444,25.35,26.07,11.3,17.48,17.05,10.86,0,0,1,1,0,0,1,1,0,0,0,0,1234.93,1728.0,65,61,144,126,1,2,11,10,0,2,10,8,0,0,0,0,0,0,0,0,1,0,1,2,47,28,6.99,6.8,5,4,30.0,76.0,225,225,12.0,12.0,2.94195,2.4805599999999997,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1410,Al,Ni,16.59442452,10.94128444,26.9815386,58.6934,2792.0,3186.0,76.0,180.0,13,10,121,124,2700.0,8908.0,1.39,1.75,1.61,1.91,5.985768,7.6398,0.0,0.0,-3.74542312,-5.54632457,3.2062378330000003,2.74306794,4.039606536,3.456049039,0.0,0.5953946999999999,16.48,10.32,1600,1000,1000,1500,0.897,0.444,24.2,26.07,10.71,17.48,16.61,10.86,0,0,0,1,0,0,1,1,0,0,0,0,933.47,1728.0,73,61,141,126,5,2,3,10,0,2,0,8,0,0,0,0,5,0,1,0,0,0,2,2,13,28,6.8,6.8,3,4,26.0,76.0,225,225,12.0,12.0,2.85595,2.4805599999999997,"[1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0]"
